log_id,machine_id,log_date,planned_minutes,run_minutes,units_produced,units_good,ideal_cycle_time_sec
94,2,2026-08-03,480,398,940,903,26.27
95,2,2026-08-04,480,466,992,969,28.53
96,2,2026-08-05,480,423,947,913,23.75
97,2,2026-08-06,480,424,983,965,23.58
98,2,2026-08-07,480,435,976,946,25.67
99,2,2026-08-08,480,418,876,854,24.46
100,2,2026-08-09,480,371,679,677,32.71
101,2,2026-08-10,480,399,947,934,27.24
102,2,2026-08-11,480,414,765,737,29.04
103,2,2026-08-12,480,421,811,809,31.72
104,2,2026-08-13,480,372,877,876,34.94
105,2,2026-08-14,480,366,820,805,30.59
106,2,2026-08-15,480,466,1031,1024,33.0
107,2,2026-08-16,480,452,929,900,25.95
108,2,2026-08-17,480,458,864,847,23.5
109,2,2026-08-18,480,424,982,977,23.55
110,2,2026-08-19,480,460,991,965,30.62
111,2,2026-08-20,480,413,837,827,23.73
112,2,2026-08-21,480,396,816,791,26.08
113,2,2026-08-22,480,423,949,940,32.34
114,2,2026-08-23,480,442,976,946,26.0
115,2,2026-08-24,480,412,762,747,26.55
116,2,2026-08-25,480,448,1069,1050,24.84
117,2,2026-08-26,480,364,857,854,23.79
118,2,2026-08-27,480,436,804,777,23.25
119,2,2026-08-28,480,392,939,927,25.76
120,2,2026-08-29,480,441,1035,1033,20.87
121,3,2026-07-01,480,302,562,496,22.55
122,3,2026-07-02,480,323,656,576,23.99
123,3,2026-07-03,480,299,584,518,20.48
124,3,2026-07-04,480,293,599,535,24.06
125,3,2026-07-05,480,281,518,470,26.25
126,3,2026-07-06,480,318,747,652,33.15
127,3,2026-07-07,480,315,598,530,31.66
128,3,2026-07-08,480,309,738,653,31.24
129,3,2026-07-09,480,302,693,618,20.95
130,3,2026-07-10,480,273,513,446,21.13
131,3,2026-07-11,480,327,693,623,33.7
132,3,2026-07-12,480,318,710,639,25.67
133,3,2026-07-13,480,289,555,488,24.12
134,3,2026-07-14,480,287,667,600,20.7
135,3,2026-07-15,480,292,529,470,27.14
136,3,2026-07-16,480,338,670,604,34.52
137,3,2026-07-17,480,277,630,562,27.2
138,3,2026-07-18,480,304,690,617,32.08
139,3,2026-07-19,480,344,746,678,29.12
140,3,2026-07-20,480,322,686,599,30.9
141,3,2026-07-21,480,315,652,590,24.47
142,3,2026-07-22,480,313,694,625,26.89
143,3,2026-07-23,480,339,766,668,20.69
144,3,2026-07-24,480,321,644,565,28.69
145,3,2026-07-25,480,298,632,561,28.77
146,3,2026-07-26,480,303,672,589,30.45
147,3,2026-07-27,480,304,706,628,34.6
148,3,2026-07-28,480,319,617,557,25.18
149,3,2026-07-29,480,298,542,483,28.02
150,3,2026-07-30,480,299,698,610,24.95
151,3,2026-07-31,480,296,549,488,30.32
152,3,2026-08-01,480,312,590,522,20.04
153,3,2026-08-02,480,341,631,564,34.79
154,3,2026-08-03,480,314,739,649,31.4
155,3,2026-08-04,480,313,698,609,22.22
156,3,2026-08-05,480,281,621,561,31.24
157,3,2026-08-06,480,272,631,557,25.96
158,3,2026-08-07,480,278,623,546,28.46
159,3,2026-08-08,480,339,628,559,23.5
160,3,2026-08-09,480,298,621,549,29.73
161,3,2026-08-10,480,309,664,597,28.37
162,3,2026-08-11,480,318,680,601,25.06
163,3,2026-08-12,480,344,744,654,27.47
164,3,2026-08-13,480,297,700,609,23.38
165,3,2026-08-14,480,300,627,566,21.32
166,3,2026-08-15,480,336,616,556,20.77
167,3,2026-08-16,480,271,601,546,33.45
168,3,2026-08-17,480,317,745,648,34.63
169,3,2026-08-18,480,310,692,624,30.78
170,3,2026-08-19,480,314,654,590,23.08
171,3,2026-08-20,480,350,779,683,31.04
172,3,2026-08-21,480,313,696,626,21.31
173,3,2026-08-22,480,311,733,647,28.91
174,3,2026-08-23,480,300,621,553,28.23
175,3,2026-08-24,480,286,632,552,22.08
176,3,2026-08-25,480,270,504,448,29.09
177,3,2026-08-26,480,335,624,564,31.19
178,3,2026-08-27,480,303,715,650,23.08
179,3,2026-08-28,480,301,709,637,20.72
180,3,2026-08-29,480,334,767,690,31.99
181,4,2026-07-01,480,451,862,835,29.51
182,4,2026-07-02,480,460,915,899,30.24
183,4,2026-07-03,480,409,911,907,29.36
184,4,2026-07-04,480,419,864,849,25.33
185,4,2026-07-05,480,403,854,822,23.44
186,4,2026-07-06,480,419,862,838,30.96
187,4,2026-07-07,480,436,828,823,27.43
188,4,2026-07-08,480,441,945,944,31.29
189,4,2026-07-09,480,438,993,958,23.07
190,4,2026-07-10,480,438,918,908,21.54
191,4,2026-07-11,480,419,849,830,29.06
192,4,2026-07-12,480,415,881,862,26.13
193,4,2026-07-13,480,445,804,791,28.48
194,4,2026-07-14,480,439,947,940,34.39
195,4,2026-07-15,480,397,768,750,24.32
196,4,2026-07-16,480,427,1002,967,21.51
197,4,2026-07-17,480,388,867,852,21.53
198,4,2026-07-18,480,461,1048,1007,29.77
199,4,2026-07-19,480,445,900,866,21.16
200,4,2026-07-20,480,371,854,850,21.84
201,4,2026-07-21,480,386,733,709,32.56
202,4,2026-07-22,480,396,786,761,29.12
203,4,2026-07-23,480,401,900,871,31.82
204,4,2026-07-24,480,426,796,777,32.95
205,4,2026-07-25,480,461,958,938,33.78
206,4,2026-07-26,480,424,771,768,23.72
207,4,2026-07-27,480,423,803,771,24.67
208,4,2026-07-28,480,446,877,849,23.19
209,4,2026-07-29,480,416,992,970,28.36
210,4,2026-07-30,480,455,965,933,24.49
211,4,2026-07-31,480,394,803,784,32.0
212,4,2026-08-01,480,398,828,815,25.67
213,4,2026-08-02,480,452,972,944,30.71
214,4,2026-08-03,480,418,886,867,27.46
215,4,2026-08-04,480,444,826,804,21.13
216,4,2026-08-05,480,443,869,865,27.9
217,4,2026-08-06,480,448,1069,1062,33.0
218,4,2026-08-07,480,405,863,837,22.94
219,4,2026-08-08,480,415,895,871,28.54
220,4,2026-08-09,480,457,975,964,32.08
221,4,2026-08-10,480,469,1013,1005,34.44
222,4,2026-08-11,480,464,874,853,24.86
223,4,2026-08-12,480,369,804,795,32.72
224,4,2026-08-13,480,373,867,854,30.56
225,4,2026-08-14,480,460,1000,973,32.38
226,4,2026-08-15,480,400,728,723,25.18
227,4,2026-08-16,480,445,897,892,23.29
228,4,2026-08-17,480,467,1059,1021,28.49
229,4,2026-08-18,480,468,974,942,27.27
230,4,2026-08-19,480,416,933,921,26.04
231,4,2026-08-20,480,384,839,819,21.98
232,4,2026-08-21,480,459,1016,1003,32.34
233,4,2026-08-22,480,418,956,936,21.01
234,4,2026-08-23,480,404,847,837,21.6
235,4,2026-08-24,480,375,734,712,30.98
236,4,2026-08-25,480,387,843,825,28.6
237,4,2026-08-26,480,452,923,914,26.33
238,4,2026-08-27,480,399,947,916,21.36
239,4,2026-08-28,480,445,819,813,26.56
240,4,2026-08-29,480,461,1029,1012,34.24
241,5,2026-07-01,480,403,956,922,27.26
242,5,2026-07-02,480,389,826,798,32.62
243,5,2026-07-03,480,453,1075,1038,29.35
244,5,2026-07-04,480,412,826,804,26.19
245,5,2026-07-05,480,437,943,922,21.14
246,5,2026-07-06,480,368,662,661,20.08
247,5,2026-07-07,480,371,737,731,34.43
248,5,2026-07-08,480,447,989,970,21.3
249,5,2026-07-09,480,465,1048,1032,31.39
250,5,2026-07-10,480,439,958,957,33.55
251,5,2026-07-11,480,431,955,918,30.05
252,5,2026-07-12,480,364,783,782,28.34
253,5,2026-07-13,480,412,818,789,30.97
254,5,2026-07-14,480,381,712,695,31.93
255,5,2026-07-15,480,442,810,792,27.84
256,5,2026-07-16,480,431,943,919,28.41
257,5,2026-07-17,480,413,962,943,26.62
258,5,2026-07-18,480,404,865,858,28.08
259,5,2026-07-19,480,433,971,952,26.4
260,5,2026-07-20,480,456,935,914,34.86
261,5,2026-07-21,480,360,688,671,33.99
262,5,2026-07-22,480,367,662,636,21.33
263,5,2026-07-23,480,364,759,746,24.08
264,5,2026-07-24,480,403,747,727,27.84
265,5,2026-07-25,480,440,792,775,24.46
266,5,2026-07-26,480,454,1012,995,24.16
267,5,2026-07-27,480,460,840,810,25.87
268,5,2026-07-28,480,373,885,877,23.88
269,5,2026-07-29,480,424,1013,1008,29.01
270,5,2026-07-30,480,459,1098,1086,20.97
271,5,2026-07-31,480,404,930,901,32.46
272,5,2026-08-01,480,373,681,664,20.55
273,5,2026-08-02,480,465,1067,1058,29.45
274,5,2026-08-03,480,383,808,794,27.88
275,5,2026-08-04,480,388,818,801,34.95
276,5,2026-08-05,480,459,953,938,31.22
277,5,2026-08-06,480,363,848,843,26.86
278,5,2026-08-07,480,403,791,774,20.67
279,5,2026-08-08,480,454,826,803,33.97
280,5,2026-08-09,480,441,868,842,20.08
281,5,2026-08-10,480,436,797,782,34.43
282,5,2026-08-11,480,372,869,868,20.92
283,5,2026-08-12,480,457,964,960,28.57
284,5,2026-08-13,480,433,920,915,31.01
285,5,2026-08-14,480,417,967,937,22.36
286,5,2026-08-15,480,377,754,731,33.95
287,5,2026-08-16,480,371,823,796,33.22
288,5,2026-08-17,480,466,968,963,20.08
289,5,2026-08-18,480,450,871,867,20.02
290,5,2026-08-19,480,421,948,919,22.9
291,5,2026-08-20,480,369,736,723,21.74
292,5,2026-08-21,480,401,723,717,21.93
293,5,2026-08-22,480,391,708,691,32.6
294,5,2026-08-23,480,403,768,760,31.83
295,5,2026-08-24,480,379,857,855,22.5
296,5,2026-08-25,480,445,990,969,20.87
297,5,2026-08-26,480,368,850,849,30.14
298,5,2026-08-27,480,409,895,880,25.75
299,5,2026-08-28,480,367,841,819,32.28
300,5,2026-08-29,480,387,696,672,27.03
301,6,2026-07-01,480,464,863,857,27.91
302,6,2026-07-02,480,451,892,886,31.59
303,6,2026-07-03,480,385,723,719,34.45
304,6,2026-07-04,480,363,812,809,32.86
305,6,2026-07-05,480,466,1051,1027,24.68
306,6,2026-07-06,480,395,882,873,23.01
307,6,2026-07-07,480,455,1014,996,27.07
308,6,2026-07-08,480,419,794,768,21.37
309,6,2026-07-09,480,376,779,764,20.27
310,6,2026-07-10,480,447,883,879,34.51
311,6,2026-07-11,480,380,789,757,28.97
312,6,2026-07-12,480,427,832,817,23.38
313,6,2026-07-13,480,377,825,802,28.85
314,6,2026-07-14,480,407,972,938,26.97
315,6,2026-07-15,480,435,886,885,30.83
316,6,2026-07-16,480,432,973,971,33.62
317,6,2026-07-17,480,439,987,953,21.54
318,6,2026-07-18,480,423,766,750,23.16
319,6,2026-07-19,480,398,901,898,21.09
320,6,2026-07-20,480,418,973,937,32.37
321,6,2026-07-21,480,399,795,794,23.01
322,6,2026-07-22,480,436,999,960,30.06
323,6,2026-07-23,480,465,871,867,28.92
324,6,2026-07-24,480,428,927,901,34.03
325,6,2026-07-25,480,464,1009,1000,29.18
326,6,2026-07-26,480,413,907,890,28.96
327,6,2026-07-27,480,446,931,895,22.46
328,6,2026-07-28,480,408,911,896,29.75
329,6,2026-07-29,480,412,893,869,27.05
330,6,2026-07-30,480,442,1026,1002,20.65
331,6,2026-07-31,480,377,683,673,24.98
332,6,2026-08-01,480,419,878,845,26.05
333,6,2026-08-02,480,384,787,761,32.61
334,6,2026-08-03,480,379,900,878,32.69
335,6,2026-08-04,480,429,961,952,27.57
336,6,2026-08-05,480,419,883,868,20.44
337,6,2026-08-06,480,403,871,856,31.89
338,6,2026-08-07,480,432,1034,1004,25.39
339,6,2026-08-08,480,402,835,829,23.54
340,6,2026-08-09,480,445,909,894,29.49
341,6,2026-08-10,480,401,845,825,21.04
342,6,2026-08-11,480,408,758,739,28.89
343,6,2026-08-12,480,423,929,895,29.78
344,6,2026-08-13,480,394,803,798,20.14
345,6,2026-08-14,480,424,915,892,23.56
346,6,2026-08-15,480,385,897,876,24.96
347,6,2026-08-16,480,409,900,869,26.74
348,6,2026-08-17,480,424,1004,973,25.39
349,6,2026-08-18,480,401,867,844,28.0
350,6,2026-08-19,480,446,991,969,32.96
351,6,2026-08-20,480,421,894,859,34.8
352,6,2026-08-21,480,373,723,695,29.6
353,6,2026-08-22,480,384,732,705,21.55
354,6,2026-08-23,480,424,938,915,27.2
355,6,2026-08-24,480,435,787,765,34.6
356,6,2026-08-25,480,424,827,811,25.14
357,6,2026-08-26,480,418,783,755,22.15
358,6,2026-08-27,480,463,1036,1001,22.83
359,6,2026-08-28,480,440,833,807,34.45
360,6,2026-08-29,480,388,852,851,25.61
361,7,2026-07-01,480,271,527,476,32.97
362,7,2026-07-02,480,333,621,560,33.78
363,7,2026-07-03,480,319,754,680,30.0
364,7,2026-07-04,480,317,636,557,29.07
365,7,2026-07-05,480,296,686,624,31.29
366,7,2026-07-06,480,277,546,477,29.76
367,7,2026-07-07,480,333,784,695,33.52
368,7,2026-07-08,480,342,680,615,25.64
369,7,2026-07-09,480,294,643,567,29.45
370,7,2026-07-10,480,320,684,605,28.23
371,7,2026-07-11,480,319,678,601,20.22
372,7,2026-07-12,480,318,604,541,31.39
373,7,2026-07-13,480,311,661,600,32.71
374,7,2026-07-14,480,345,789,689,22.23
375,7,2026-07-15,480,313,609,541,25.92
376,7,2026-07-16,480,315,708,636,27.82
377,7,2026-07-17,480,338,695,629,21.07
378,7,2026-07-18,480,349,765,677,22.96
379,7,2026-07-19,480,309,592,518,29.26
380,7,2026-07-20,480,313,689,625,27.98
381,7,2026-07-21,480,318,589,529,26.0
382,7,2026-07-22,480,350,802,714,21.85
383,7,2026-07-23,480,341,777,681,24.43
384,7,2026-07-24,480,335,640,580,26.37
385,7,2026-07-25,480,277,634,561,27.9
386,7,2026-07-26,480,279,502,449,27.73
387,7,2026-07-27,480,319,726,650,22.62
388,7,2026-07-28,480,299,700,630,28.35
389,7,2026-07-29,480,291,576,517,32.77
390,7,2026-07-30,480,325,742,668,22.25
391,7,2026-07-31,480,305,576,506,33.04
392,7,2026-08-01,480,309,655,574,24.68
393,7,2026-08-02,480,289,555,497,23.85
394,7,2026-08-03,480,322,590,516,24.12
395,7,2026-08-04,480,319,703,624,26.69
396,7,2026-08-05,480,329,595,525,32.28
397,7,2026-08-06,480,319,638,578,31.59
398,7,2026-08-07,480,291,636,568,26.02
399,7,2026-08-08,480,300,601,537,26.64
400,7,2026-08-09,480,338,744,649,29.6
401,7,2026-08-10,480,292,629,564,23.46
402,7,2026-08-11,480,307,587,511,25.68
403,7,2026-08-12,480,300,719,638,25.0
404,7,2026-08-13,480,318,589,535,29.52
405,7,2026-08-14,480,332,631,559,26.34
406,7,2026-08-15,480,338,608,536,34.72
407,7,2026-08-16,480,309,627,548,34.61
408,7,2026-08-17,480,271,607,546,23.65
409,7,2026-08-18,480,325,603,530,31.82
410,7,2026-08-19,480,341,738,657,22.39
411,7,2026-08-20,480,275,514,451,25.13
412,7,2026-08-21,480,301,604,531,27.65
413,7,2026-08-22,480,338,665,603,33.1
414,7,2026-08-23,480,283,642,573,28.5
415,7,2026-08-24,480,302,634,561,28.1
416,7,2026-08-25,480,321,707,630,30.82
417,7,2026-08-26,480,281,541,488,24.84
418,7,2026-08-27,480,271,512,450,34.36
419,7,2026-08-28,480,317,748,667,27.19
420,7,2026-08-29,480,295,638,558,33.47
421,8,2026-07-01,480,451,897,895,32.38
422,8,2026-07-02,480,433,811,794,27.59
423,8,2026-07-03,480,385,711,704,21.83
424,8,2026-07-04,480,425,1003,998,24.17
425,8,2026-07-05,480,453,815,782,29.04
426,8,2026-07-06,480,400,812,797,22.88
427,8,2026-07-07,480,383,800,792,29.29
428,8,2026-07-08,480,392,806,779,21.12
429,8,2026-07-09,480,446,873,844,30.37
430,8,2026-07-10,480,428,933,904,23.49
431,8,2026-07-11,480,384,731,720,32.72
432,8,2026-07-12,480,439,998,974,29.81
433,8,2026-07-13,480,399,844,826,22.65
434,8,2026-07-14,480,402,956,927,22.01
435,8,2026-07-15,480,406,923,907,30.21
436,8,2026-07-16,480,380,825,802,32.51
437,8,2026-07-17,480,429,823,792,20.64
438,8,2026-07-18,480,401,785,773,27.49
439,8,2026-07-19,480,389,735,709,32.97
440,8,2026-07-20,480,386,845,838,29.21
441,8,2026-07-21,480,454,924,922,22.0
442,8,2026-07-22,480,371,814,812,32.13
443,8,2026-07-23,480,368,724,721,23.8
444,8,2026-07-24,480,446,1023,1002,25.8
445,8,2026-07-25,480,409,791,787,26.76
446,8,2026-07-26,480,457,851,850,26.65
447,8,2026-07-27,480,365,665,658,29.89
448,8,2026-07-28,480,448,834,801,27.63
449,8,2026-07-29,480,402,835,834,34.56
450,8,2026-07-30,480,464,1053,1025,26.18
451,8,2026-07-31,480,420,965,929,26.36
452,8,2026-08-01,480,369,778,774,31.74
453,8,2026-08-02,480,385,918,905,20.16
454,8,2026-08-03,480,388,759,730,34.4
455,8,2026-08-04,480,412,963,936,21.88
456,8,2026-08-05,480,412,769,753,33.8
457,8,2026-08-06,480,417,904,873,20.66
458,8,2026-08-07,480,372,803,773,25.64
459,8,2026-08-08,480,420,853,824,24.11
460,8,2026-08-09,480,462,1018,997,20.19
461,8,2026-08-10,480,469,1033,1004,33.19
462,8,2026-08-11,480,388,825,812,23.32
463,8,2026-08-12,480,468,1052,1033,22.71
464,8,2026-08-13,480,365,727,719,24.04
465,8,2026-08-14,480,419,937,903,30.28
466,8,2026-08-15,480,370,880,861,22.26
467,8,2026-08-16,480,397,813,805,31.15
468,8,2026-08-17,480,427,795,768,21.41
469,8,2026-08-18,480,423,984,961,22.41
470,8,2026-08-19,480,421,962,952,33.22
471,8,2026-08-20,480,390,747,743,29.86
472,8,2026-08-21,480,394,884,877,29.22
473,8,2026-08-22,480,435,880,863,27.86
474,8,2026-08-23,480,453,1043,1036,20.17
475,8,2026-08-24,480,442,996,983,31.34
476,8,2026-08-25,480,452,941,922,21.87
477,8,2026-08-26,480,402,878,870,23.26
478,8,2026-08-27,480,375,824,791,22.68
479,8,2026-08-28,480,363,689,666,25.82
480,8,2026-08-29,480,404,939,920,30.85
