event_id,machine_id,event_start,event_end,downtime_minutes,reason_code
51,5,2026-08-04 05:00:00,2026-08-04 05:48:00,48,material_shortage
52,5,2026-07-25 17:00:00,2026-07-25 17:52:00,52,electrical_fault
53,5,2026-08-20 10:00:00,2026-08-20 10:21:00,21,changeover
54,5,2026-07-24 08:00:00,2026-07-24 08:45:00,45,mechanical_failure
55,5,2026-07-08 22:00:00,2026-07-08 22:18:00,18,changeover
56,5,2026-08-17 13:00:00,2026-08-17 13:51:00,51,changeover
57,5,2026-07-06 11:00:00,2026-07-06 11:11:00,11,mechanical_failure
58,5,2026-07-03 12:00:00,2026-07-03 12:12:00,12,electrical_fault
59,6,2026-08-09 05:00:00,2026-08-09 05:42:00,42,changeover
60,6,2026-08-24 07:00:00,2026-08-24 07:41:00,41,material_shortage
61,6,2026-08-12 04:00:00,2026-08-12 04:13:00,13,electrical_fault
62,6,2026-08-15 21:00:00,2026-08-15 21:28:00,28,electrical_fault
63,6,2026-07-12 10:00:00,2026-07-12 10:55:00,55,mechanical_failure
64,6,2026-07-01 12:00:00,2026-07-01 12:30:00,30,material_shortage
65,6,2026-08-03 03:00:00,2026-08-03 03:37:00,37,electrical_fault
66,7,2026-07-27 04:00:00,2026-07-27 04:44:00,44,mechanical_failure
67,7,2026-07-04 19:00:00,2026-07-04 21:53:00,173,mechanical_failure
68,7,2026-07-05 02:00:00,2026-07-05 02:28:00,28,electrical_fault
69,7,2026-08-19 05:00:00,2026-08-19 06:19:00,79,mechanical_failure
70,7,2026-07-11 01:00:00,2026-07-11 03:07:00,127,changeover
71,7,2026-07-21 23:00:00,2026-07-22 01:30:00,150,electrical_fault
72,7,2026-07-30 15:00:00,2026-07-30 15:40:00,40,mechanical_failure
73,7,2026-07-26 00:00:00,2026-07-26 00:53:00,53,mechanical_failure
74,7,2026-08-16 17:00:00,2026-08-16 18:17:00,77,material_shortage
75,7,2026-07-23 15:00:00,2026-07-23 17:27:00,147,changeover
76,7,2026-07-05 11:00:00,2026-07-05 13:38:00,158,electrical_fault
77,7,2026-07-27 02:00:00,2026-07-27 02:52:00,52,mechanical_failure
78,7,2026-07-16 01:00:00,2026-07-16 02:25:00,85,mechanical_failure
79,7,2026-08-25 14:00:00,2026-08-25 16:47:00,167,mechanical_failure
80,7,2026-07-08 22:00:00,2026-07-08 23:46:00,106,mechanical_failure
81,7,2026-07-03 03:00:00,2026-07-03 05:52:00,172,mechanical_failure
82,7,2026-07-15 20:00:00,2026-07-15 21:16:00,76,mechanical_failure
83,7,2026-08-15 19:00:00,2026-08-15 21:41:00,161,operator_break
84,7,2026-07-17 06:00:00,2026-07-17 08:36:00,156,electrical_fault
85,7,2026-07-13 14:00:00,2026-07-13 16:14:00,134,operator_break
86,7,2026-08-28 22:00:00,2026-08-28 23:50:00,110,changeover
87,8,2026-08-07 13:00:00,2026-08-07 14:21:00,81,mechanical_failure
88,8,2026-07-19 13:00:00,2026-07-19 13:34:00,34,changeover
89,8,2026-07-14 05:00:00,2026-07-14 05:31:00,31,electrical_fault
90,8,2026-07-19 13:00:00,2026-07-19 14:00:00,60,electrical_fault
91,8,2026-07-19 08:00:00,2026-07-19 08:37:00,37,mechanical_failure
92,8,2026-07-07 13:00:00,2026-07-07 14:12:00,72,changeover
93,8,2026-08-29 22:00:00,2026-08-29 22:28:00,28,electrical_fault
94,8,2026-07-14 23:00:00,2026-07-14 23:47:00,47,mechanical_failure
95,8,2026-08-05 07:00:00,2026-08-05 07:39:00,39,mechanical_failure
96,8,2026-08-02 23:00:00,2026-08-03 00:01:00,61,mechanical_failure
